k=7.500e+02, gamma=0.500, dt=0.0100, T=1, stopTime=10.0000
min radius=0.200, max radius=2.000
N=250, Lx=100.0000, Ly=100.0000

# initial positions: i, x, y, r
i,x,y,r
0,4.18377,84.83382,1.38166
1,59.85732,4.71652,1.92518
2,43.28500,62.83832,0.77138
3,47.77935,67.08441,0.76616
4,70.15506,83.39486,1.90916
5,43.59236,4.56037,0.83044
6,4.37904,48.61987,0.78476
7,76.72439,90.55352,1.72547
8,65.13708,18.39627,0.45701
9,44.29069,48.67574,1.67223
10,42.96089,77.96472,1.76728
11,71.84878,15.88343,1.68100
12,74.33346,26.23043,0.62169
13,81.57376,56.74162,0.66825
14,72.71668,92.04700,0.93980
15,53.44187,40.27531,1.94531
16,15.01969,49.23536,0.85638
17,19.94841,35.20780,1.75573
18,95.21624,75.63101,1.94869
19,29.07043,22.74753,1.48558
20,14.58404,2.72042,1.90425
21,27.90237,69.43393,0.45405
22,49.69291,92.94248,1.85912
23,93.98040,45.63647,1.59951
24,30.71067,93.03454,0.77336
25,56.54425,80.75584,1.78911
26,36.41784,15.03068,1.47064
27,41.88771,13.30909,1.72450
28,6.88600,4.71374,1.12525
29,82.80134,53.77454,1.52134
30,10.79150,79.48002,1.85363
31,31.71301,16.05111,0.32784
32,9.76779,50.54933,1.70545
33,41.14364,66.99540,1.77734
34,35.20638,92.38275,0.86039
35,65.35114,43.47449,1.90601
36,72.76379,19.86032,1.91381
37,72.86077,80.20827,1.90933
38,59.70205,22.92269,1.96585
39,62.23481,71.00504,0.94355
40,77.22413,38.08739,1.36222
41,75.98035,22.26951,0.54952
42,18.02472,84.47622,1.62017
43,88.29522,32.20176,0.67265
44,4.40043,76.90622,0.20725
45,37.48555,45.60808,1.74649
46,97.05597,37.28161,1.82647
47,42.53540,91.13801,1.54604
48,50.76387,89.64730,1.04169
49,63.82633,79.29568,1.71832
50,11.25430,24.05494,0.82282
51,89.44451,37.80746,1.98949
52,46.72022,98.69188,0.88249
53,12.07707,82.14655,0.93822
54,1.47568,42.93258,0.70461
55,90.08985,13.75023,0.66585
56,61.38125,28.16780,0.25449
57,30.73728,28.82504,0.84120
58,73.97297,95.99067,1.01963
59,74.16430,47.47125,1.95220
60,53.09914,8.68979,1.47502
61,93.33280,83.86808,0.32488
62,17.91499,54.06854,0.91037
63,45.84994,72.91701,1.57618
64,45.26226,16.87672,1.99571
65,19.10294,90.38908,0.89554
66,9.49110,53.36303,0.79510
67,85.30539,21.25839,1.07486
68,17.48990,5.10518,1.56235
69,45.02532,64.15279,0.95096
70,27.02669,65.01760,1.86174
71,52.05598,20.67600,1.54642
72,55.09604,63.83712,1.23229
73,69.15609,9.35579,1.42624
74,82.75129,45.94871,1.81245
75,73.90433,87.68075,0.88727
76,68.59343,57.14565,0.98482
77,6.63747,23.86243,0.88532
78,14.74279,63.00708,0.34933
79,43.90214,37.47739,1.86188
80,54.33407,92.96573,1.16743
81,41.42266,70.62289,0.96385
82,65.16020,24.16756,1.88305
83,24.57245,77.64399,1.12890
84,55.47190,71.72153,1.05764
85,56.30595,14.80407,0.41099
86,15.32726,94.55036,1.92174
87,69.81965,96.02063,1.64642
88,20.33396,54.73163,1.33085
89,59.19699,1.34877,1.11543
90,25.65359,43.55303,1.92192
91,40.87198,10.15771,0.90007
92,11.29276,63.45184,1.75156
93,58.88096,42.80916,1.60453
94,68.74250,24.18512,1.68716
95,85.73944,58.55740,1.36105
96,52.35639,55.78847,0.86624
97,38.82397,53.76489,0.81962
98,71.65696,37.89216,0.40825
99,52.57439,1.45295,0.47660
100,65.66829,9.23962,1.47277
101,17.35902,59.06602,1.29315
102,95.62446,23.53897,0.87472
103,51.17132,71.19567,1.59268
104,72.75289,10.12171,0.75839
105,60.79134,77.07977,1.57903
106,53.34264,24.03068,0.43665
107,63.69975,82.92266,1.38957
108,62.44582,90.82041,1.56603
109,98.52954,44.47119,1.06714
110,28.09247,56.03656,1.19431
111,24.19935,69.95351,1.88344
112,70.78945,60.70850,0.61506
113,40.57159,39.16739,1.28318
114,89.45564,77.07161,0.65612
115,32.44546,98.86992,0.45479
116,67.78303,39.97345,1.98808
117,63.19905,57.34240,1.05666
118,37.61165,28.91657,0.31932
119,90.51877,48.70505,1.13997
120,3.44360,78.96859,1.49366
121,34.36310,68.60996,0.34738
122,34.40280,61.05593,0.24940
123,79.72196,79.22006,0.93628
124,2.10596,67.27693,1.18311
125,81.85786,72.38569,0.33922
126,89.94841,81.92693,1.82387
127,62.76757,9.20226,0.48900
128,84.52469,26.91539,0.73684
129,80.20490,5.09642,0.86002
130,37.93492,36.94300,1.92435
131,8.10229,68.49614,1.66058
132,15.78396,72.40723,1.04470
133,44.41619,29.16855,0.99287
134,7.68773,72.94016,0.32763
135,40.89794,6.16373,0.25632
136,68.96623,1.76354,1.46009
137,78.99450,34.55989,0.62250
138,92.79722,29.89755,1.87348
139,48.91576,80.30627,0.86236
140,58.59875,33.44437,0.72643
141,53.25513,14.81442,0.77401
142,37.26123,74.50250,0.59975
143,90.78999,7.93705,0.89655
144,53.95892,52.83860,0.47393
145,59.25255,79.85800,1.06205
146,28.13277,46.79345,0.69961
147,48.50504,57.98915,0.98965
148,20.92886,61.66353,0.72035
149,30.10744,76.02478,1.68245
150,3.84475,71.81700,1.35351
151,53.05570,89.62699,0.87778
152,39.75834,93.82341,0.65311
153,66.74032,65.45663,0.47599
154,69.35483,76.07743,1.74870
155,89.49930,16.69925,0.75565
156,15.92379,22.47308,1.18826
157,24.16593,14.05622,1.79261
158,69.68985,87.07541,1.30240
159,34.60906,17.73941,1.68475
160,91.57918,72.94896,1.38797
161,26.58506,48.89063,1.80311
162,83.05954,49.68196,1.92564
163,33.86099,41.15129,1.86619
164,5.84935,46.53596,0.90622
165,86.66373,96.13057,0.52293
166,63.97920,59.80115,0.65720
167,81.95492,26.29031,1.86125
168,74.93190,98.22813,1.36064
169,81.17119,61.03195,1.55249
170,87.84654,51.23789,1.11067
171,1.14355,87.60697,0.38568
172,19.66251,1.12907,1.02033
173,90.10926,32.92254,0.52544
174,41.86087,27.54054,0.83872
175,45.86074,52.65102,0.82951
176,8.57741,77.18110,1.27295
177,59.75833,67.24198,0.95253
178,61.47109,14.27914,1.97219
179,89.84143,28.47357,0.28878
180,45.06960,60.36212,1.70221
181,12.22039,96.10624,1.23406
182,93.79024,41.22436,1.05448
183,73.00283,33.15857,1.54477
184,22.59606,8.80100,1.63284
185,46.77324,22.56295,1.20981
186,93.70514,12.25702,1.00305
