k=1.000e+03, gamma=0.500, dt=0.0100, T=1, stopTime=10.0000
min radius=0.200, max radius=4.000
N=10, Lx=50.0000, Ly=50.0000

# initial positions: i, x, y, r
i,x,y,r
0,32.14180,43.99623,2.03773
1,22.49460,27.42919,0.30952
2,27.94771,8.90694,0.92729
3,7.55658,26.48210,0.37579
4,2.93739,15.26515,2.05729
5,9.67489,45.89053,2.29249
6,19.66331,2.21149,1.66250
7,0.98742,19.06450,0.40803
8,6.12714,11.30814,2.30336
9,25.33016,12.04698,1.59025

# cycle,area
cycle,area
0,1600.51005
1,1611.52789
2,1543.82409
3,1496.15902
4,1381.00035
5,1319.94304
6,1257.83043
7,1193.43464
8,1139.01968
9,1088.90530
10,1049.50623
11,1002.56581
12,974.73138
13,927.81622
14,888.85545
15,840.01171
16,799.76730
17,767.98632
18,735.92591
19,715.50388
20,683.16506
21,664.14352
22,623.56442
23,606.93987
24,597.63398
25,567.65554
26,533.66332
27,509.55434
28,487.08936
29,473.90326
30,454.29498
31,432.86702
32,422.47963
33,393.61628
34,382.25424
35,360.75702
36,343.20526
37,339.70151
38,309.79049
39,301.92342
40,285.47874
41,275.42077
42,269.65912
43,244.63539
44,237.47055
45,212.48194
46,200.30218
47,194.82991
48,180.68320
49,166.95064
50,162.64338
51,159.71163
52,152.69530
53,139.13140
54,135.65859
55,132.75127
56,128.71632
57,125.92777
58,122.87462
59,121.28145
60,119.19326
61,118.02387
62,116.54643
63,115.27984
64,114.28677
65,113.59248
66,112.92377
67,112.59700
68,112.29072
69,112.22392
70,112.12877
71,112.07184
72,112.06068
73,112.00173
74,111.97781
75,111.99333
76,112.00466
77,112.00836
78,112.00875
79,111.96751
80,111.98204
81,111.97429
82,111.95506
83,111.95807

# final positions: i, x, y, r
i,x,y,r
0,6.27179,11.43575,2.03773
1,4.65525,3.71017,0.30952
2,6.98828,1.01799,0.92729
3,0.39391,13.02940,0.37579
4,6.08143,7.34424,2.05729
5,2.29249,9.72916,2.29249
6,4.22198,1.66250,1.66250
7,0.59400,7.30332,0.40803
8,2.30482,5.13428,2.30336
9,6.71838,3.74829,1.59025

final,111.95807
